地址,第N位,代码,注塑提示,分类
2180,0,1001,机器运转正常,ebug
2180,1,1002,请开马达,Warn
2180,2,1003,请关电热,Warn
2180,3,1004,请关安全门,Warn
2180,4,1005,请开安全门,Warn
2180,5,1006,请按合模按钮,Warn
2180,6,1007,请按左合模按钮,Warn
2180,7,1008,请按右合模按钮,Warn
2180,8,1009,请松开合模按钮,Warn
2180,9,1010,请进入调模状态,Warn
2180,10,1011,先进入手动状态,Warn
2180,11,1012,请松开急停按钮,Warn
2180,12,1013,紧急上升,Fatal
2180,13,1014,,Info
2180,14,1015,,Info
2180,15,1016,,Info
2181,0,1017,此功能未选用,Info
2181,1,1018,等待下一次循环,Warn
2181,2,1019,,Info
2181,3,1020,,Info
2181,4,1021,,Info
2181,5,1022,,Info
2181,6,1023,,Info
2181,7,1024,,Info
2181,8,1025,,Info
2181,9,1026,,Info
2181,10,1027,,Info
2181,11,1028,,Info
2181,12,1029,,Info
2181,13,1030,,Info
2181,14,1031,,Info
2181,15,1032,,Info
2182,0,1033,,Info
2182,1,1034,,Info
2182,2,1035,,Info
2182,3,1036,,Info
2182,4,1037,,Info
2182,5,1038,,Info
2183,0,1049,,Info
2183,1,1050,,Info
2183,2,1051,,Info
2183,3,1052,,Info
2183,4,1053,,Info
2183,5,1054,,Info
2183,6,1055,,Info
2183,7,1056,,Info
2183,8,1057,,Info
2183,9,1058,,Info
2183,10,1059,,Info
2183,11,1060,,Info
2183,12,1061,,Info
2183,13,1062,,Info
2183,14,1063,,Info
2183,15,1064,,Info
2184,0,1065,紧急停止,Fatal
2184,1,1066,,Info
2184,2,1067,,Info
2184,3,1068,,Info
2184,4,1069,锁模方式参数无效,Info
2184,5,1070,调模方式参数无效,Info
2184,6,1071,储料方式参数无效,Info
2184,7,1072,射出方式参数无效,Info
2184,8,1073,座台方式参数无效,Error
2184,9,1074,托模方式参数无效,Error
2184,10,1075,中子A方式参数无效,Error
2184,11,1076,中子B方式参数无效,Info
2184,12,1077,,Info
2184,13,1078,,Info
2184,14,1079,,Info
2184,15,1080,,Info
2185,0,1081,低压保护时间到,Error
2185,1,1082,开模限时报警,Error
2185,2,1083,合模限时报警,Error
2185,3,1084,调模进限时报警,Info
2185,4,1085,调模退限时报警,Info
2185,5,1086,储料限时报警,Info
2185,6,1087,射出限时报警,Info
2185,7,1088,射退限时报警,Info
2185,8,1089,座台进限时报警,Error
2185,9,1090,座台退限时报警,Warn
2185,10,1091,托模进限时报警,Info
2185,11,1092,托模退限时报警,Info
2185,12,1093,中子A进限时报警,Info
2185,13,1094,中子A退限时报警,Info
2185,14,1095,中子B进限时报警,Info
2185,15,1096,中子B退限时报警,Info
2186,0,1097,,Info
2186,1,1098,,Info
2186,2,1099,,Info
2186,3,1100,,Info
2186,4,1101,,Info
2186,5,1102,,Info
2186,6,1103,,Info
2186,7,1104,,Info
2186,8,1105,,Info
2186,9,1106,,Info
2186,10,1107,,Info
2186,11,1108,,Info
2186,12,1109,,Info
2186,13,1110,,Info
2186,14,1111,,Info
2186,15,1112,,Info
2187,0,1113,,Info
2187,1,1114,,Info
2187,2,1115,,Info
2187,3,1116,,Info
2187,4,1117,,Info
2187,5,1118,,Info
2187,6,1119,,Info
2187,7,1120,,Info
2187,8,1121,,Info
2187,9,1122,,Info
2187,10,1123,,Info
2187,11,1124,,Info
2187,12,1125,,Info
2187,13,1126,,Info
2187,14,1127,,Info
2187,15,1128,,Info
2188,0,1129,,Info
2188,1,1130,,Info
2188,2,1131,,Info
2188,3,1132,,Info
2188,4,1133,,Info
2188,5,1134,,Info
2188,6,1135,,Info
2188,7,1136,,Info
2188,8,1137,,Info
2188,9,1138,,Info
2188,10,1139,,Info
2188,11,1140,,Info
2188,12,1141,,Info
2188,13,1142,,Info
2188,14,1143,,Info
2188,15,1144,,Info
2189,0,1145,,Info
2189,1,1146,,Info
2189,2,1147,,Info
2189,3,1148,,Info
2189,4,1149,,Info
2189,5,1150,,Info
2189,6,1151,,Info
2189,7,1152,,Info
2189,8,1153,,Info
2189,9,1154,,Info
2189,10,1155,,Info
2189,11,1156,,Info
2189,12,1157,,Info
2189,13,1158,,Info
2189,14,1159,,Info
2189,15,1160,,Info
2190,0,3001,,Error
2190,1,3002,,Error
2190,2,3003,,Info
2190,3,3004,,Info
2190,4,3005,,Info
2190,5,3006,,Info
2190,6,3007,,Info
2190,7,3008,,Info
2190,8,3009,,Info
2190,9,3010,,Info
2190,10,3011,,Info
2190,11,3012,,Info
2190,12,3013,,Info
2190,13,3014,,Info
2190,14,3015,,Info
2190,15,3016,,Info
2191,0,3017,,Info
2191,1,3018,,Info
2191,2,3019,,Info
2191,3,3020,,Info
2191,4,3021,,Info
2191,5,3022,,Info
2191,6,3023,,Info
2191,7,3024,,Info
2191,8,3025,,Info
2191,9,3026,,Info
2191,10,3027,,Info
