原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0001,4x0001,按键1,ushort,1字,1,次,,false,,,0,-1,否,
D0002,4x0002,按键2,ushort,1字,1,单位,,false,,,0,-1,否,
D0003,4x0003,按键3,ushort,1字,1,ss,,false,,,0,-1,否,
D0004,4x0004,按键4,ushort,1字,1,4,,false,,,0,-1,否,
D0005,4x0005,面板版本号,ushort,1字,1,kkk,,false,,,0,-1,否,
D0006,4x0006,面板通讯,ushort,1字,1,w,,false,,,0,-1,否,
D0009,4x0009,验证程序,ushort,1字,1,s,,false,,,0,-1,否,
D0020,4x0020,预调使能设定,ushort,1字,1,,,
D0021,4x0021,预调压力设定,ushort,1字,1,,,
D0030,4x0030,锁模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0031,4x0031,调模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0032,4x0032,储料轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0033,4x0033,射出轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0034,4x0034,座台轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0035,4x0035,托模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0036,4x0036,中子A轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0037,4x0037,中子B轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0050,4x0050,周期时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0051,4x0051,润滑模数,ushort,1字,1,模,时间,false,,,0,-1,是,
D0052,4x0052,润滑计时,ushort,1字,1,s,时间,false,,,0,-1,是,
D0053,4x0053,循环等待时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0054,4x0054,手动动作限时,ushort,1字,1,s,时间,false,,,0,-1,是,
D0055,4x0055,故障报警时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0060,4x0060,生产管理设定模数,int,2字,1,模,时间,false,,,0,-1,是,
D0062,4x0062,生产管理一模数量,ushort,1字,1,个,时间,false,,,0,-1,是,
D0063,4x0063,生产管理报警停机,ushort,1字,1,秒,时间,false,,,0,-1,是,
D0064,4x0064,生产管理产量清零,ushort,1字,1,,时间,false,,,0,-1,是,
D0065,4x0065,生产管理包箱模数,ushort,1字,1,模,时间,false,,,0,-1,是,
D0066,4x0066,生产管理报警时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0067,4x0067,生产管理包箱清零,ushort,1字,1,,时间,false,,,0,-1,是,
D0068,4x0068,生产管理,ushort,1字,1,,时间,false,,,0,-1,是,
D0069,4x0069,生产管理_1,ushort,1字,1,,时间,false,,,0,-1,是,
D0070,4x0070,取样间隔,ushort,1字,1,s,时间,false,,,0,-1,是,
D0100,4x0100,合模1压力1,ushort,1字,0.1,,开合模,false,,,1,198,是,0~D3315
D0101,4x0101,合模1流量1,ushort,1字,0.1,,开合模,false,,,1,198,是,0~D3315
D0102,4x0102,合模1位置1,int,2字,0.01,,开合模,false,,,1,198,是,0~300
D0104,4x0104,合模1时间1,ushort,1字,0.1,,开合模,false,,,1,198,是,0~D3115
D0105,4x0105,合模2压力1,ushort,1字,0.1,,开合模,false,,,2,198,是,
D0106,4x0106,合模2流量1,ushort,1字,0.1,,开合模,false,,,2,198,是,
D0107,4x0107,合模2位置1,int,2字,0.01,,开合模,false,,,2,198,是,0~D102
D0109,4x0109,合模2时间1,ushort,1字,0.1,,开合模,false,,,2,198,是,
D0110,4x0110,合模3压力1,ushort,1字,0.1,,开合模,false,,,3,198,是,
D0111,4x0111,合模3流量1,ushort,1字,0.1,,开合模,false,,,3,198,是,
D0112,4x0112,合模3位置1,int,2字,0.01,,开合模,false,,,3,198,是,0~D107
D0114,4x0114,合模3时间1,ushort,1字,0.1,,开合模,false,,,3,198,是,
D0115,4x0115,合模4压力1,ushort,1字,0.1,,开合模,false,,,4,198,是,
D0116,4x0116,合模4流量1,ushort,1字,0.1,,开合模,false,,,4,198,是,
