工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D1,4,2,D1000,4x1000,4X1001,合模A压力1,ushort,1字,0.1
D1,5,2,D1001,4x1001,4X1002,合模A流量1,ushort,1字,0.01
D1,6,2,D1002,4x1002,4X1003,开模A压力1,ushort,1字,0.1
D1,7,2,D1003,4x1003,4X1004,开模A流量1,ushort,1字,0.01
D1,8,2,D1004,4x1004,4X1005,射出A压力1,ushort,1字,0.1
D1,9,2,D1005,4x1005,4X1006,射出A流量1,ushort,1字,0.01
D1,10,2,D1006,4x1006,4X1007,射退A压力1,ushort,1字,0.1
D1,11,2,D1007,4x1007,4X1008,射退A流量1,ushort,1字,0.01
D1,12,2,D1008,4x1008,4X1009,储料A压力1,ushort,1字,0.1
D1,13,2,D1009,4x1009,4X1010,储料A流量1,ushort,1字,0.01
D1,14,2,D1010,4x1010,4X1011,保压A压力1,ushort,1字,0.1
D1,15,2,D1011,4x1011,4X1012,保压A流量1,ushort,1字,0.01
D1,16,2,D1012,4x1012,4X1013,座台A进压力1,ushort,1字,0.1
D1,17,2,D1013,4x1013,4X1014,座台A进流量1,ushort,1字,0.01
D1,18,2,D1014,4x1014,4X1015,座台A退压力1,ushort,1字,0.1
D1,19,2,D1015,4x1015,4X1016,座台A退流量1,ushort,1字,0.01
D1,20,2,D1016,4x1016,4X1017,托模A进压力1,ushort,1字,0.1
D1,21,2,D1017,4x1017,4X1018,托模A进流量1,ushort,1字,0.01
D1,22,2,D1018,4x1018,4X1019,托模A退压力1,ushort,1字,0.1
D1,23,2,D1019,4x1019,4X1020,托模A退流量1,ushort,1字,0.01
D1,24,2,D1020,4x1020,4X1021,托模B进压力1,ushort,1字,0.1
D1,25,2,D1021,4x1021,4X1022,托模B进流量1,ushort,1字,0.01
D1,26,2,D1022,4x1022,4X1023,托模B退压力1,ushort,1字,0.1
D1,27,2,D1023,4x1023,4X1024,托模B退流量1,ushort,1字,0.01
D1,28,2,D1024,4x1024,4X1025,射出B压力1,ushort,1字,0.1
D1,29,2,D1025,4x1025,4X1026,射出B流量1,ushort,1字,0.01
D1,30,2,D1026,4x1026,4X1027,射退B压力1,ushort,1字,0.1
D1,31,2,D1027,4x1027,4X1028,射退B流量1,ushort,1字,0.01
D1,32,2,D1028,4x1028,4X1029,储料B压力1,ushort,1字,0.1
D1,33,2,D1029,4x1029,4X1030,储料B流量1,ushort,1字,0.01
D1,34,2,D1030,4x1030,4X1031,保压B压力1,ushort,1字,0.1
D1,35,2,D1031,4x1031,4X1032,保压B流量1,ushort,1字,0.01
D1,36,2,D1032,4x1032,4X1033,座台B进压力1,ushort,1字,0.1
D1,37,2,D1033,4x1033,4X1034,座台B进流量1,ushort,1字,0.01
D1,38,2,D1034,4x1034,4X1035,座台B退压力1,ushort,1字,0.1
D1,39,2,D1035,4x1035,4X1036,座台B退流量1,ushort,1字,0.01
D1,40,2,D1036,4x1036,4X1037,射出C压力1,ushort,1字,0.1
