原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例
D2100,4x2100,射咀,ushort,1字,0.1
D2101,4x2101,一段,ushort,1字,0.1
D2102,4x2102,二段,ushort,1字,0.1
D2103,4x2103,三段,ushort,1字,0.1
D2104,4x2104,四段,ushort,1字,0.1
D2105,4x2105,五段,ushort,1字,0.1
D2106,4x2106,6段,ushort,1字,0.1
D2107,4x2107,7段,ushort,1字,0.1
D2108,4x2108,8段,ushort,1字,0.1
D2109,4x2109,9段,ushort,1字,0.1
D2110,4x2110,10段,ushort,1字,0.1
D2111,4x2111,11段,ushort,1字,0.1
D2112,4x2112,加热状态,ushort,1字,1
D2113,4x2113,图片状态,ushort,1字,1
D2114,4x2114,系统压,ushort,1字,0.1
D2115,4x2115,合模压,ushort,1字,0.1
D2116,4x2116,射出压,ushort,1字,0.1
D2117,4x2117,系统背压,ushort,1字,0.1
D2118,4x2118,系统压力,ushort,1字,0.1
D2119,4x2119,系统流量,ushort,1字,0.1
D2120,4x2120,合模AD,ushort,1字,0.1
D2121,4x2121,螺杆AD,ushort,1字,0.1
D2122,4x2122,左托模AD,ushort,1字,0.1
D2123,4x2123,移模AD,ushort,1字,0.1
D2124,4x2124,座台AD,ushort,1字,0.1
D2125,4x2125,右托模AD,ushort,1字,0.1
D2126,4x2126,设定时间,ushort,1字,0.1
D2127,4x2127,操作时间,ushort,1字,0.1
D2128,4x2128,周期时间,ushort,1字,0.1
D2130,4x2130,SPC产品N0,ushort,1字,0.1
D2131,4x2131,SPC取产品,ushort,1字,0.1
D2132,4x2132,SPC保压切换,ushort,1字,0.1
D2133,4x2133,SPC保压位置,ushort,1字,0.01
D2134,4x2134,SPC射出时间,ushort,1字,0.1
D2135,4x2135,SPC储料位置,ushort,1字,0.01
D2136,4x2136,SPC储料时间,ushort,1字,0.1
D2137,4x2137,SPC开模位置,ushort,1字,0.01
D2138,4x2138,SPC,ushort,1字,0.1
D2139,4x2139,SPC_1,ushort,1字,0.1
D2146,4x2146,生产管理触发,ushort,1字,0.1
D2147,4x2147,SPC触发,ushort,1字,0.1
D2150,4x2150,更新条件,ushort,1字,0.1
D2151,4x2151,PLC->OP,ushort,1字,0.1
D2152,4x2152,OP->PLC,ushort,1字,0.1
D2153,4x2153,生产管理已开模数,int,2字,1
D2155,4x2155,生产管理良品模数,int,2字,1
D2157,4x2157,生产管理劣品模数,int,2字,1
D2159,4x2159,生产管理包箱模数,ushort,1字,1
D2167,4x2167,按键灯1,ushort,1字,1
D2168,4x2168,按键灯2,ushort,1字,1
D2169,4x2169,按键灯3,ushort,1字,1
D2170,4x2170,输入1,ushort,1字,1
D2171,4x2171,输入2,ushort,1字,1
D2172,4x2172,输入3,ushort,1字,1
D2173,4x2173,输出1,ushort,1字,1
D2174,4x2174,输出2,ushort,1字,1
D2175,4x2175,输出3,ushort,1字,1
D2176,4x2176,按键1,ushort,1字,1
D2177,4x2177,按键2,ushort,1字,1
D2178,4x2178,按键3,ushort,1字,1
D2179,4x2179,动作提示,ushort,1字,1
D2180,4x2180,报警提示,ushort,1字,1
D2181,4x2181,报警提示_1,ushort,1字,1
D2182,4x2182,报警提示_2,ushort,1字,1
D2183,4x2183,报警提示_3,ushort,1字,1
D2184,4x2184,报警提示_4,ushort,1字,1
D2185,4x2185,报警提示_5,ushort,1字,1
D2186,4x2186,报警提示_6,ushort,1字,1
D2187,4x2187,报警提示_7,ushort,1字,1
D2188,4x2188,报警提示_8,ushort,1字,1
D2189,4x2189,报警提示_9,ushort,1字,1
D2190,4x2190,报警提示_10,ushort,1字,1
D2191,4x2191,报警提示_11,ushort,1字,1
D2192,4x2192,报警提示_12,ushort,1字,1
D2193,4x2193,报警提示_13,ushort,1字,1
D2194,4x2194,报警提示_14,ushort,1字,1
D2195,4x2195,报警提示_15,ushort,1字,1
D2196,4x2196,报警提示_16,ushort,1字,1
D2197,4x2197,报警提示_17,ushort,1字,1
D2198,4x2198,报警提示_18,ushort,1字,1
D2199,4x2199,报警提示_19,ushort,1字,1
