错误码,常量名,描述,分类
0,HYD_DIAG_CODE_NONE,无错误,Info
1,HYD_DIAG_CODE_RECIPE_EMPTY,配方为空;重新加载有效配方,Warn
2,HYD_DIAG_CODE_RECIPE_TOO_LARGE,配方段数超限,Warn
3,HYD_DIAG_CODE_SEGMENT_INVALID,配方段参数无效;检查位置/速度/压力,Warn
4,HYD_DIAG_CODE_RUNTIME_CONFIG_INVALID,运行时配置无效;停止保护,Error
5,HYD_DIAG_CODE_START_CONTEXT_INVALID,启动上下文无效,Error
6,HYD_DIAG_CODE_COMMAND_NOT_ALLOWED,当前状态不允许该命令,Warn
7,HYD_DIAG_CODE_NO_RECIPE,未加载配方,Warn
8,HYD_DIAG_CODE_NO_DIRECT_SEGMENT,未配置直接段,Warn
9,HYD_DIAG_CODE_SEGMENT_INDEX_OUT_OF_RANGE,段索引超出范围,Warn
10,HYD_DIAG_CODE_SEGMENT_NOT_COMPLETED,前置段未完成,Warn
11,HYD_DIAG_CODE_RECIPE_ALREADY_FINISHED,配方已执行完毕,Info
12,HYD_DIAG_CODE_ABORTED,调用方主动中止,Info
13,HYD_DIAG_CODE_TIMEOUT,段执行超时,Error
14,HYD_DIAG_CODE_OVER_PRESSURE,实测压力超上限,Error
15,HYD_DIAG_CODE_UNDER_PRESSURE,实测压力低于下限,Warn
16,HYD_DIAG_CODE_FLOW_DEVIATION,流量偏离参考值,Warn
17,HYD_DIAG_CODE_POSITION_DEVIATION,位置偏离目标,Warn
18,HYD_DIAG_CODE_VELOCITY_DEVIATION,速度偏离参考值,Warn
19,HYD_DIAG_CODE_SENSOR_FAULT,轴反馈无效;检查传感器,Error
20,HYD_DIAG_CODE_TIMESTAMP_ROLLBACK,轴时间戳倒退,Error
21,HYD_DIAG_CODE_PRESSURE_CEILING_EXCEEDED,压力首次超软上限,Warn
22,HYD_DIAG_CODE_PRESSURE_CEILING_VIOLATED,压力持续超软上限;故障停机,Fatal
23,HYD_DIAG_CODE_OVER_PRESSURE_LIMIT,达到最大压力限制,Warn
24,HYD_DIAG_CODE_OVER_PRESSURE_LIMIT_FAULT,持续违反最大压力限制;故障停机,Fatal
25,HYD_DIAG_CODE_SOFT_LIMIT_REACHED,到达位置软限位,Warn
26,HYD_DIAG_CODE_SOFT_LIMIT_VIOLATED,超出位置软限位;故障停机,Fatal
27,HYD_DIAG_CODE_PUMP_DIRECTION_CONFLICT,油泵方向冲突,Error
28,HYD_DIAG_CODE_INTERNAL_ERROR,控制器内部错误,Fatal
29,HYD_DIAG_CODE_BUFFER_FULL,命令缓冲区已满,Warn
30,HYD_DIAG_CODE_MECHANISM_TYPE_INVALID,机构类型无效,Error
31,HYD_DIAG_CODE_MECHANISM_POOL_EXHAUSTED,机构实例池耗尽,Error
32,HYD_DIAG_CODE_MECHANISM_VALIDATION_BUSY,机构校验忙,Info
33,HYD_DIAG_CODE_MECHANISM_CONFIG_BUSY,活动状态禁止修改配置,Warn
34,HYD_DIAG_CODE_MECHANISM_CONFIG_INVALID,机构几何配置无效,Error
35,HYD_DIAG_CODE_KINEMATICS_POSITION_OUT_OF_RANGE,模板位置超运动学范围;故障停机,Fatal
36,HYD_DIAG_CODE_KINEMATICS_RUNTIME_INVALID,运动学计算失败;故障停机,Fatal
