工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0,6,3,D0001,4x0001,4X2,按键1,ushort,1字,1,次,,false,,,0,-1,否,
D0,7,3,D0002,4x0002,4X3,按键2,ushort,1字,1,单位,,false,,,0,-1,否,
D0,8,3,D0003,4x0003,4X4,按键3,ushort,1字,1,ss,,false,,,0,-1,否,
D0,9,3,D0004,4x0004,4X5,按键4,ushort,1字,1,4,,false,,,0,-1,否,
D0,10,3,D0005,4x0005,4X6,面板版本号,ushort,1字,1,kkk,,false,,,0,-1,否,
D0,11,3,D0006,4x0006,4X7,面板通讯,ushort,1字,1,w,,false,,,0,-1,否,
D0,14,3,D0009,4x0009,4X10,验证程序,ushort,1字,1,s,,false,,,0,-1,否,
D0,14,3,D0020,4x0020,4X21,预调使能设定,ushort,1字,1,,,
D0,14,3,D0021,4x0021,4X22,预调压力设定,ushort,1字,1,,,
D0,14,3,D0030,4x0030,4X31,锁模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0031,4x0031,4X32,调模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0032,4x0032,4X33,储料轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0033,4x0033,4X34,射出轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0034,4x0034,4X35,座台轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0035,4x0035,4X36,托模轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0036,4x0036,4X37,中子A轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,14,3,D0037,4x0037,4X38,中子B轴报警代码,ushort,1字,1,,,true,,,0,-1,是,
D0,5,5,D0050,4x0050,4X51,周期时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0,6,5,D0051,4x0051,4X52,润滑模数,ushort,1字,1,模,时间,false,,,0,-1,是,
D0,7,5,D0052,4x0052,4X53,润滑计时,ushort,1字,1,s,时间,false,,,0,-1,是,
D0,8,5,D0053,4x0053,4X54,循环等待时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0,9,5,D0054,4x0054,4X55,手动动作限时,ushort,1字,1,s,时间,false,,,0,-1,是,
D0,10,5,D0055,4x0055,4X56,故障报警时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0,15,5,D0060,4x0060,4X61,生产管理设定模数,int,2字,1,模,时间,false,,,0,-1,是,
D0,17,5,D0062,4x0062,4X63,生产管理一模数量,ushort,1字,1,个,时间,false,,,0,-1,是,
D0,18,5,D0063,4x0063,4X64,生产管理报警停机,ushort,1字,1,秒,时间,false,,,0,-1,是,
D0,19,5,D0064,4x0064,4X65,生产管理产量清零,ushort,1字,1,,时间,false,,,0,-1,是,
D0,20,5,D0065,4x0065,4X66,生产管理包箱模数,ushort,1字,1,模,时间,false,,,0,-1,是,
D0,21,5,D0066,4x0066,4X67,生产管理报警时间,ushort,1字,0.1,s,时间,false,,,0,-1,是,
D0,22,5,D0067,4x0067,4X68,生产管理包箱清零,ushort,1字,1,,时间,false,,,0,-1,是,
