工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例
D2,5,8,D2100,4x2100,4X2101,射咀,ushort,1字,0.1
D2,6,8,D2101,4x2101,4X2102,一段,ushort,1字,0.1
D2,7,8,D2102,4x2102,4X2103,二段,ushort,1字,0.1
D2,8,8,D2103,4x2103,4X2104,三段,ushort,1字,0.1
D2,9,8,D2104,4x2104,4X2105,四段,ushort,1字,0.1
D2,10,8,D2105,4x2105,4X2106,五段,ushort,1字,0.1
D2,11,8,D2106,4x2106,4X2107,6段,ushort,1字,0.1
D2,12,8,D2107,4x2107,4X2108,7段,ushort,1字,0.1
D2,13,8,D2108,4x2108,4X2109,8段,ushort,1字,0.1
D2,14,8,D2109,4x2109,4X2110,9段,ushort,1字,0.1
D2,15,8,D2110,4x2110,4X2111,10段,ushort,1字,0.1
D2,16,8,D2111,4x2111,4X2112,11段,ushort,1字,0.1
D2,17,8,D2112,4x2112,4X2113,加热状态,ushort,1字,1
D2,18,8,D2113,4x2113,4X2114,图片状态,ushort,1字,1
D2,19,8,D2114,4x2114,4X2115,系统压,ushort,1字,0.1
D2,20,8,D2115,4x2115,4X2116,合模压,ushort,1字,0.1
D2,21,8,D2116,4x2116,4X2117,射出压,ushort,1字,0.1
D2,22,8,D2117,4x2117,4X2118,系统背压,ushort,1字,0.1
D2,23,8,D2118,4x2118,4X2119,系统压力,ushort,1字,0.1
D2,24,8,D2119,4x2119,4X2120,系统流量,ushort,1字,0.1
D2,25,8,D2120,4x2120,4X2121,合模AD,ushort,1字,0.1
D2,26,8,D2121,4x2121,4X2122,螺杆AD,ushort,1字,0.1
D2,27,8,D2122,4x2122,4X2123,左托模AD,ushort,1字,0.1
D2,28,8,D2123,4x2123,4X2124,移模AD,ushort,1字,0.1
D2,29,8,D2124,4x2124,4X2125,座台AD,ushort,1字,0.1
D2,30,8,D2125,4x2125,4X2126,右托模AD,ushort,1字,0.1
D2,31,8,D2126,4x2126,4X2127,设定时间,ushort,1字,0.1
D2,32,8,D2127,4x2127,4X2128,操作时间,ushort,1字,0.1
D2,33,8,D2128,4x2128,4X2129,周期时间,ushort,1字,0.1
D2,35,8,D2130,4x2130,4X2131,SPC产品N0,ushort,1字,0.1
D2,36,8,D2131,4x2131,4X2132,SPC取产品,ushort,1字,0.1
D2,37,8,D2132,4x2132,4X2133,SPC保压切换,ushort,1字,0.1
D2,38,8,D2133,4x2133,4X2134,SPC保压位置,ushort,1字,0.01
D2,39,8,D2134,4x2134,4X2135,SPC射出时间,ushort,1字,0.1
D2,40,8,D2135,4x2135,4X2136,SPC储料位置,ushort,1字,0.01
D2,41,8,D2136,4x2136,4X2137,SPC储料时间,ushort,1字,0.1
D2,42,8,D2137,4x2137,4X2138,SPC开模位置,ushort,1字,0.01
D2,43,8,D2138,4x2138,4X2139,SPC,ushort,1字,0.1
D2,44,8,D2139,4x2139,4X2140,SPC_1,ushort,1字,0.1
D2,51,8,D2146,4x2146,4X2147,生产管理触发,ushort,1字,0.1
D2,52,8,D2147,4x2147,4X2148,SPC触发,ushort,1字,0.1
D2,5,11,D2150,4x2150,4X2151,更新条件,ushort,1字,0.1
D2,6,11,D2151,4x2151,4X2152,PLC->OP,ushort,1字,0.1
D2,7,11,D2152,4x2152,4X2153,OP->PLC,ushort,1字,0.1
D2,8,11,D2153,4x2153,4X2154,生产管理已开模数,int,2字,1
D2,10,11,D2155,4x2155,4X2156,生产管理良品模数,int,2字,1
D2,12,11,D2157,4x2157,4X2158,生产管理劣品模数,int,2字,1
D2,14,11,D2159,4x2159,4X2160,生产管理包箱模数,ushort,1字,1
D2,22,11,D2167,4x2167,4X2168,按键灯1,ushort,1字,1
D2,23,11,D2168,4x2168,4X2169,按键灯2,ushort,1字,1
D2,24,11,D2169,4x2169,4X2170,按键灯3,ushort,1字,1
D2,25,11,D2170,4x2170,4X2171,输入1,ushort,1字,1
D2,26,11,D2171,4x2171,4X2172,输入2,ushort,1字,1
D2,27,11,D2172,4x2172,4X2173,输入3,ushort,1字,1
D2,28,11,D2173,4x2173,4X2174,输出1,ushort,1字,1
D2,29,11,D2174,4x2174,4X2175,输出2,ushort,1字,1
D2,30,11,D2175,4x2175,4X2176,输出3,ushort,1字,1
D2,31,11,D2176,4x2176,4X2177,按键1,ushort,1字,1
D2,32,11,D2177,4x2177,4X2178,按键2,ushort,1字,1
D2,33,11,D2178,4x2178,4X2179,按键3,ushort,1字,1
D2,34,11,D2179,4x2179,4X2180,动作提示,ushort,1字,1
D2,35,11,D2180,4x2180,4X2181,报警提示,ushort,1字,1
D2,36,11,D2181,4x2181,4X2182,报警提示_1,ushort,1字,1
D2,37,11,D2182,4x2182,4X2183,报警提示_2,ushort,1字,1
D2,38,11,D2183,4x2183,4X2184,报警提示_3,ushort,1字,1
